Wsp. x,	Wsp. y1,	Wsp. y2,	Zak
33.7,	24.95,	27.6201,	1
33.8,	24.48,	27.6754,	1
33.9,	24.00,	27.7309,	1
34.0,	23.52,	27.7863,	1
34.1,	23.04,	27.8417,	1
34.2,	22.56,	27.8967,	1
34.3,	22.07,	27.9513,	1
34.4,	21.59,	28.0054,	1
34.5,	21.10,	28.0588,	1
34.6,	20.62,	28.1114,	1
34.7,	20.15,	28.1631,	1
34.8,	19.68,	28.2138,	1
34.9,	19.21,	28.2634,	1
35.0,	18.76,	28.3117,	1
35.1,	18.31,	28.3586,	1
35.2,	17.87,	28.4041,	1
35.3,	17.44,	28.4481,	1
35.4,	17.02,	28.4904,	1
35.5,	16.62,	28.5310,	1
35.6,	16.23,	28.5698,	1
35.7,	15.85,	28.6067,	1
35.8,	15.49,	28.6417,	1
35.9,	15.14,	28.6747,	1
36.0,	14.81,	28.7056,	1
36.1,	14.49,	28.7344,	1
36.2,	14.19,	28.7610,	1
36.3,	13.91,	28.7854,	1
36.4,	13.65,	28.8076,	1
36.5,	13.41,	28.8276,	1
36.6,	13.19,	28.8452,	1
36.7,	12.98,	28.8606,	1
36.8,	12.80,	28.8736,	1
36.9,	12.63,	28.8843,	1
37.0,	12.49,	28.8927,	1
37.1,	12.36,	28.8988,	1
37.2,	12.26,	28.9026,	1
37.3,	12.18,	28.9041,	1
37.4,	12.11,	28.9034,	1
37.5,	12.07,	28.9004,	1
37.6,	12.05,	28.8953,	1
37.7,	12.04,	28.8880,	1
37.8,	12.06,	28.8786,	1
37.9,	12.10,	28.8671,	1
38.0,	12.15,	28.8536,	1
38.1,	12.22,	28.8381,	1
38.2,	12.32,	28.8208,	1
38.3,	12.43,	28.8016,	1
38.4,	12.55,	28.7807,	1
38.5,	12.70,	28.7581,	1
38.6,	12.86,	28.7339,	1
38.7,	13.03,	28.7081,	1
38.8,	13.23,	28.6810,	1
38.9,	13.43,	28.6524,	1
39.0,	13.65,	28.6226,	1
39.1,	13.88,	28.5915,	1
39.2,	14.13,	28.5594,	1
39.3,	14.39,	28.5263,	1
39.4,	14.65,	28.4923,	1
39.5,	14.93,	28.4574,	1
39.6,	15.22,	28.4219,	1
39.7,	15.51,	28.3857,	1
39.8,	15.81,	28.3489,	1
39.9,	16.12,	28.3118,	1
